Location,Ground_Truth,State_List,Coverage_Result,Rank
0,const variable_declarator ;,"[1, 1786]",FOUND,6
6,identifier _initializer,[1199],FOUND,1
23,= expression,"[1311, 1385]",FOUND,1
25,( assignment_pattern formal_parameters_repeat1 ),[273],FOUND,96
26,identifier,[119],FOUND,1
32,= expression,"[536, 589, 875, 1370, 1139]",FOUND,5
34,number,"[249, 293]",FOUND,2
35,", assignment_pattern","[646, 589, 660, 602, 875, 824, 1426]",FOUND,35
37,identifier,"[252, 124]",FOUND,1
44,= expression,"[501, 589, 690, 1224, 1817, 1139, 533, 979, 1474, 1486, 1138]",FOUND,8
46,number,"[249, 319, 293]",FOUND,2
47,),"[646, 589, 660, 602, 690, 1224, 1817, 887, 979, 824, 1661, 1486]",FOUND,2
49,=> statement_block,"[538, 552, 686, 855, 1425, 1385, 1140, 1660, 1849]",FOUND,11
52,{ program_repeat1 },[167],FOUND,2
55,let variable_declarator ;,[4],FOUND,17
59,identifier _initializer,"[370, 686, 823, 1407, 1140]",FOUND,23
70,= expression,"[1311, 1385]",FOUND,1
72,[ ],[273],FOUND,8
73,],[111],FOUND,1
74,;,"[683, 740, 686, 855, 1425, 1385, 1790]",FOUND,2
77,for ( lexical_declaration expression ; expression ) statement,"[476, 419, 471, 22]",FOUND,31
81,( lexical_declaration expression ; expression ) statement,[1498],FOUND,3
82,let variable_declarator ;,[112],FOUND,4
86,identifier _initializer,"[488, 589, 842, 1139]",FOUND,7
90,= expression,"[1202, 1385, 1649]",FOUND,5
92,number,[273],FOUND,2
93,;,"[740, 686, 855, 1425, 1385]",FOUND,2
95,identifier,"[476, 141]",FOUND,1
99,< expression,"[501, 589, 863, 1139]",FOUND,8
101,identifier,[250],FOUND,1
107,; expression ) statement,"[501, 589, 662, 602, 863, 1139]",FOUND,7
109,identifier,[149],FOUND,1
112,++,"[501, 589, 831, 1139]",FOUND,8
114,) statement,"[606, 602, 831]",FOUND,1
116,{ program_repeat1 } _automatic_semicolon,[47],FOUND,2
120,for ( lexical_declaration expression ; expression ) statement,[2],FOUND,40
124,( lexical_declaration expression ; expression ) statement,[1498],FOUND,3
125,let variable_declarator ;,[112],FOUND,4
129,identifier _initializer,"[488, 589, 842, 1139]",FOUND,7
133,= expression,"[1202, 1385, 1649]",FOUND,5
135,number,[273],FOUND,2
136,;,"[740, 686, 855, 1425, 1385]",FOUND,2
138,identifier,"[476, 141]",FOUND,1
142,< expression,"[501, 589, 863, 1139]",FOUND,8
144,identifier,[250],FOUND,1
149,; expression ) statement,"[501, 589, 662, 602, 863, 1139]",FOUND,7
151,identifier,[149],FOUND,1
154,++,"[501, 589, 831, 1139]",FOUND,8
156,) statement,"[606, 602, 831]",FOUND,1
158,{ statement } _automatic_semicolon,[47],FOUND,1
163,identifier,[2],FOUND,1
173,. identifier,"[492, 686, 823, 1407, 1140]",FOUND,1
174,identifier,[1507],FOUND,1
178,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
179,( expression ),[123],FOUND,21
180,identifier,[120],FOUND,2
184,+ expression,"[536, 589, 866, 1370, 1139]",FOUND,18
186,identifier,[259],FOUND,1
189,),"[501, 589, 677, 602, 866, 1139]",FOUND,3
191,% expression,"[491, 507, 589, 847, 1139]",FOUND,46
193,number,[251],FOUND,1
195,== expression,"[646, 589, 669, 602, 847]",FOUND,30
198,number,[261],FOUND,5
200,? expression : expression,"[646, 589, 679, 602, 847]",FOUND,14
202,' string_fragment ',[299],FOUND,4
203,string_fragment ',[1369],FOUND,1
204,',[1363],FOUND,1
206,: expression,"[614, 646, 589, 972]",FOUND,5
208,' string_fragment ',[267],FOUND,5
209,string_fragment ',[1369],FOUND,1
210,',[1363],FOUND,1
211,),"[614, 646, 589, 655, 602, 847]",FOUND,2
212,;,"[747, 797, 740, 686, 823]",FOUND,2
216,} _automatic_semicolon,"[447, 471, 18]",FOUND,1
220,identifier,"[384, 471, 479, 18, 369]",FOUND,4
230,. identifier,"[531, 686, 823, 1140]",FOUND,1
231,identifier,[1507],FOUND,1
235,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
236,' escape_sequence ',[123],FOUND,54
237,escape_sequence ',[1369],FOUND,4
239,',[1363],FOUND,1
240,),"[614, 646, 589, 847]",FOUND,2
241,;,"[747, 797, 740, 686, 823]",FOUND,2
244,} _automatic_semicolon,"[447, 471, 9, 18]",FOUND,1
247,return expression ;,"[384, 471, 479, 9, 22, 369]",FOUND,6
254,identifier,"[142, 467, 471, 9, 22]",FOUND,1
264,. identifier,"[543, 686, 822, 1140]",FOUND,1
265,identifier,[1507],FOUND,1
269,( expression ),"[545, 552, 686, 822, 1140]",FOUND,7
270,' ',[123],FOUND,40
271,',[1369],FOUND,2
272,),"[640, 646, 589, 847]",FOUND,2
273,;,"[747, 797, 740, 686, 822]",FOUND,2
275,},"[438, 471, 9, 22]",FOUND,3
276,;,"[88, 801, 740, 686, 855, 1425, 1385, 89]",FOUND,3
279,identifier,"[476, 419, 471, 20, 1786]",FOUND,1
286,. identifier,"[531, 686, 823, 1140]",FOUND,1
287,identifier,[1507],FOUND,1
290,( expression ),"[545, 552, 686, 823, 1140]",FOUND,3
291,identifier,[123],FOUND,1
307,( expression array_repeat1 ),"[501, 589, 847, 1139]",FOUND,9
308,number,[125],FOUND,5
310,", expression","[646, 589, 859]",FOUND,3
312,number,"[127, 1455]",FOUND,4
314,),"[646, 589, 845, 1455]",FOUND,2
315,),"[638, 637, 646, 589, 847]",FOUND,2
316,;,"[747, 797, 740, 686, 823]",FOUND,2
