Location,Ground_Truth,State_List,Coverage_Result,Rank
0,function identifier formal_parameters statement_block _automatic_semicolon,"[1, 1786]",FOUND,5
9,identifier formal_parameters statement_block _automatic_semicolon,[1336],FOUND,1
18,( pattern formal_parameters_repeat1 ),[1675],FOUND,3
19,identifier,[126],FOUND,1
23,", pattern","[533, 589, 979, 1370, 1138]",FOUND,3
25,identifier,[124],FOUND,1
29,),"[533, 589, 979, 1474, 1486, 1138]",FOUND,2
31,{ program_repeat1 } _automatic_semicolon,"[1660, 1672]",FOUND,1
34,if parenthesized_expression statement,[23],FOUND,4
37,( expression ),[1668],FOUND,1
38,identifier,[195],FOUND,1
43,=== expression,"[501, 589, 857, 1139]",FOUND,4
47,identifier,[261],FOUND,2
51,),"[501, 589, 679, 602, 857, 1139]",FOUND,2
53,{ statement } _automatic_semicolon,"[524, 57]",FOUND,1
57,return expression ;,[2],FOUND,3
64,true,"[142, 467, 471, 18]",FOUND,16
68,;,"[740, 686, 822]",FOUND,2
71,} _automatic_semicolon,"[438, 471, 18]",FOUND,1
74,if parenthesized_expression statement,"[384, 471, 411, 22, 369]",FOUND,6
77,( expression ),[1668],FOUND,1
78,identifier,[195],FOUND,1
83,== expression,"[501, 589, 857, 1139]",FOUND,20
86,null,[261],FOUND,3
91,|| expression,"[646, 589, 679, 602, 857]",FOUND,10
94,typeof expression,[254],FOUND,11
101,identifier,[244],FOUND,1
106,!= expression,"[501, 589, 588, 602, 672, 857, 1139]",FOUND,22
109,' string_fragment ',[261],FOUND,4
110,string_fragment ',[1369],FOUND,1
116,',[1363],FOUND,1
118,|| expression,"[614, 646, 589, 679, 602, 672, 857]",FOUND,11
121,identifier,[254],FOUND,1
126,== expression,"[501, 589, 672, 602, 857, 1139]",FOUND,18
129,null,[261],FOUND,3
134,|| expression,"[646, 589, 679, 602, 672, 857]",FOUND,11
137,typeof expression,[254],FOUND,11
144,identifier,[244],FOUND,1
149,!= expression,"[501, 589, 588, 602, 672, 857, 1139]",FOUND,22
152,' string_fragment ',[261],FOUND,4
153,string_fragment ',[1369],FOUND,1
159,',[1363],FOUND,1
160,),"[614, 646, 589, 679, 602, 672, 857]",FOUND,2
162,{ statement } _automatic_semicolon,"[524, 57]",FOUND,1
166,return expression ;,[2],FOUND,3
173,false,"[142, 467, 471, 18]",FOUND,12
178,;,"[740, 686, 822]",FOUND,2
181,} _automatic_semicolon,"[438, 471, 18]",FOUND,1
184,let variable_declarator variable_declaration_repeat1 ;,"[384, 471, 411, 9, 22, 369]",FOUND,55
188,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
194,= expression,"[1311, 1385]",FOUND,1
196,identifier,[273],FOUND,1
202,. identifier,"[543, 686, 855, 1425, 1385, 1140]",FOUND,1
203,identifier,[1507],FOUND,1
207,( expression ),"[545, 552, 686, 855, 1425, 1385, 1140]",FOUND,4
208,identifier,[123],FOUND,1
212,),"[501, 589, 847, 1139]",FOUND,2
213,", variable_declarator","[747, 797, 740, 686, 855, 1425, 1385]",FOUND,13
217,identifier _initializer,[1201],FOUND,1
223,= expression,"[1311, 1415, 1365]",FOUND,1
225,identifier,[273],FOUND,1
231,. identifier,"[543, 686, 855, 1425, 1415, 1365, 1140]",FOUND,1
232,identifier,[1507],FOUND,1
236,( expression ),"[545, 552, 686, 855, 1425, 1415, 1365, 1140]",FOUND,3
237,identifier,[123],FOUND,1
241,),"[501, 589, 847, 1139]",FOUND,2
242,;,"[747, 797, 740, 686, 855, 1425, 1415, 1365]",FOUND,13
246,if parenthesized_expression statement,"[485, 419, 471, 9, 22]",FOUND,7
249,( expression ),[1668],FOUND,1
250,identifier,[195],FOUND,1
255,. identifier,"[501, 589, 857, 1139]",FOUND,1
256,identifier,[1503],FOUND,1
263,!= expression,"[494, 507, 589, 857, 1139]",FOUND,19
266,identifier,[261],FOUND,2
271,. identifier,"[501, 589, 679, 602, 857, 1139]",FOUND,1
272,identifier,[1503],FOUND,1
278,),"[494, 507, 589, 679, 602, 857, 1139]",FOUND,2
280,return expression ;,"[524, 57]",FOUND,5
287,false,"[142, 467, 471, 411, 9, 22]",FOUND,15
292,;,"[740, 686, 822]",FOUND,2
296,for _for_header statement,"[438, 471, 411, 9, 22]",FOUND,20
300,( let identifier of expression ),[1498],FOUND,9
301,let identifier of expression ),[112],FOUND,10
305,identifier of expression ),"[488, 589, 842, 1139]",FOUND,12
309,of expression ),"[1202, 1385, 1649]",FOUND,3
312,identifier,[193],FOUND,1
317,),"[501, 589, 830, 1139]",FOUND,6
319,{ statement } _automatic_semicolon,"[516, 69]",FOUND,1
323,if parenthesized_expression statement,[2],FOUND,5
326,( expression ),[1668],FOUND,1
327,! expression,[195],FOUND,2
328,identifier,[244],FOUND,1
333,. identifier,"[501, 589, 588, 602, 857, 1139]",FOUND,1
334,identifier,[1503],FOUND,1
342,( expression ),"[494, 507, 589, 588, 602, 857, 1139]",FOUND,8
343,identifier,[125],FOUND,1
346,),"[501, 589, 859, 1139]",FOUND,2
348,|| expression,"[634, 637, 646, 589, 588, 602, 857]",FOUND,10
351,! expression,[254],FOUND,3
352,identifier,[244],FOUND,1
361,( expression array_repeat1 ),"[501, 589, 588, 602, 672, 857, 1139]",FOUND,16
362,identifier,[125],FOUND,1
366,[ expression ],"[501, 589, 859, 1139]",FOUND,4
367,identifier,[181],FOUND,1
370,],"[501, 589, 860, 1139]",FOUND,2
371,", expression","[500, 507, 589, 859, 1139]",FOUND,3
373,identifier,"[127, 1455]",FOUND,1
377,[ expression ],"[501, 589, 845, 1455, 1139]",FOUND,4
378,identifier,[181],FOUND,1
381,],"[501, 589, 860, 1139]",FOUND,2
382,),"[500, 507, 589, 845, 1455, 1139]",FOUND,2
383,),"[638, 637, 646, 589, 588, 602, 672, 857]",FOUND,2
385,return expression ;,"[524, 57]",FOUND,5
392,false,"[142, 467, 471, 411, 18]",FOUND,13
397,;,"[740, 686, 822]",FOUND,2
400,} _automatic_semicolon,"[438, 471, 411, 18]",FOUND,1
404,return expression ;,"[384, 471, 429, 9, 22, 369]",FOUND,6
411,true,"[142, 467, 471, 9, 22]",FOUND,17
415,;,"[740, 686, 822]",FOUND,2
417,} _automatic_semicolon,"[438, 471, 9, 22]",FOUND,1
420,let variable_declarator ;,"[434, 419, 471, 20, 1786, 88, 99, 740, 686, 823, 89]",FOUND,27
424,identifier _initializer,"[396, 686, 823, 1140]",FOUND,9
